"Departamento","Matemática","Lenguaje","Evaluados"
"SANTANDER",46.4118269371078,47.8189469332166,20559
"BOYACÁ",46.2236220256463,47.5875396009052,14583
"BOGOTÁ",45.40967355758,48.3020871291754,51372
"NORTE SANTANDER",45.255317688919,46.8128388681803,11804
"NARIÑO",45.0979346140883,46.3144570273003,14835
"META",44.6554610467006,47.1162541987214,9229
"HUILA",44.5792129719264,46.9941384317522,10330
"GUAINÍA",44.57220657277,47.1820657276995,213
"CUNDINAMARCA",44.153152100473,46.9069341441119,25161
"RISARALDA",43.9053599667083,47.2421951727008,9612
"ARAUCA",43.8867767653759,46.0665679574791,2634
"CASANARE",43.8079646179099,45.9584679919752,5483
"QUINDÍO",43.8021099554235,46.8482555720654,6730
"CALDAS",43.7677955117044,46.8684010446895,10338
"ANTIOQUIA",43.6818395725839,47.1071328722509,54654
"ATLÁNTICO",43.3098118061842,45.4151412644719,20989
"PUTUMAYO",43.2541928079572,45.5429048712063,3921
"VALLE",43.2383886678338,46.7471386280439,31415
"TOLIMA",43.1768075822604,46.1464670958512,13980
"SAN ANDRÉS",42.9295491143317,44.8702737520129,621
"CAQUETÁ",42.5670683502608,45.5671973648092,3643
"SUCRE",42.4525096958563,44.7690436823842,9798
"CESAR",42.3610425362751,44.8991820711588,10062
"GUAVIARE",42.3439406779661,44.9285699152542,944
"CAUCA",42.1832071679786,44.9355250376821,11942
"CÓRDOBA",41.7354963530721,44.8691655334405,16178
"BOLÍVAR",41.5010828984344,43.7313869931754,19928
"LA GUAJIRA",41.406603960396,43.8558250825082,6060
"VICHADA",41.2295444191344,43.8046697038724,439
"AMAZONAS",40.9516348773842,44.018038147139,734
"MAGDALENA",40.9209733124019,43.3518579277865,12740
"CHOCÓ",40.3310165484634,42.7761859732072,3807
"VAUPÉS",40.0366883116883,43.9181493506494,308
